id,date,unit_gr,quantity,price_per_unit,total_income,id_crop
110,7/21/2020,300,34,1400,40800,100001
111,7/21/2020,300,26,1400,31200,100001
112,7/21/2020,300,56,1400,78400,100001
113,7/21/2020,300,51,1400,71400,100001
114,7/21/2020,300,32,1400,38400,100001
115,7/21/2020,300,21,1400,29400,100001
116,7/21/2020,300,29,1400,40600,100001
117,7/21/2020,300,28,1400,33600,100001
118,7/21/2020,300,42,1400,58800,100001
119,7/21/2020,300,26,1400,36400,100001
120,7/21/2020,300,40,1400,48000,100001
121,7/21/2020,300,52,1400,72800,100001
122,7/21/2020,300,46,1400,55200,100001
123,7/21/2020,300,40,1400,56000,100001
124,7/21/2020,300,38,1400,53200,100001
125,7/21/2020,300,25,1400,30000,100001
126,7/21/2020,300,48,1400,57600,100001
127,7/21/2020,300,25,1400,30000,100001
128,7/21/2020,300,53,1400,74200,100001
129,7/21/2020,300,54,1400,64800,100001
130,7/21/2020,300,35,1400,42000,100001
131,7/21/2020,300,35,1400,49000,100001
132,7/21/2020,300,56,1400,78400,100001
133,7/21/2020,300,26,1400,36400,100001
134,7/21/2020,300,27,1400,37800,100001
135,7/21/2020,300,21,1400,25200,100001
136,7/21/2020,300,33,1400,39600,100001
137,7/21/2020,300,20,1400,24000,100001
138,7/21/2020,300,56,1400,67200,100001
139,7/21/2020,300,37,1400,44400,100001
140,7/21/2020,300,41,1400,57400,100001
141,7/21/2020,300,50,1400,70000,100001
142,7/21/2020,300,41,1400,49200,100001
143,7/21/2020,300,50,1400,60000,100001
144,7/21/2020,300,29,1400,40600,100001
145,7/21/2020,300,48,1400,67200,100001
146,7/21/2020,300,50,1400,60000,100001
147,7/21/2020,300,47,1400,65800,100001
148,7/21/2020,300,50,1400,60000,100001
149,7/21/2020,300,26,1400,36400,100001
150,7/21/2020,300,51,1400,71400,100001
151,7/21/2020,300,27,1400,32400,100001
152,7/21/2020,300,40,1400,48000,100001
153,7/21/2020,300,42,1400,58800,100001
154,7/21/2020,300,33,1400,39600,100001
155,7/21/2020,300,32,1400,44800,100001
156,7/21/2020,300,49,1400,58800,100001
157,7/21/2020,300,23,1400,27600,100001
158,7/21/2020,300,39,1400,54600,100001
159,7/21/2020,300,25,1400,35000,100001
160,7/21/2020,300,45,1400,63000,100001
161,7/21/2020,300,58,1400,81200,100001
162,7/21/2020,300,52,1400,72800,100001
163,7/21/2020,300,49,1400,58800,100001
164,7/21/2020,300,41,1400,49200,100001
165,7/21/2020,300,59,1400,70800,100001
166,7/21/2020,300,60,1400,72000,100001
167,7/21/2020,300,50,1400,60000,100001
168,7/21/2020,300,59,1400,82600,100001
169,7/21/2020,300,42,1400,50400,100001
170,7/21/2020,300,31,1400,43400,100001
171,7/21/2020,300,34,1400,40800,100001
172,7/21/2020,300,53,1400,74200,100001
173,7/21/2020,300,52,1400,72800,100001
174,7/21/2020,300,37,1400,51800,100001
175,7/21/2020,300,59,1400,70800,100001
176,7/21/2020,300,49,1400,58800,100001
177,7/21/2020,300,60,1400,72000,100001
178,7/21/2020,300,50,1400,60000,100001
179,7/21/2020,300,47,1400,65800,100001
180,7/21/2020,300,27,1400,32400,100001
181,7/21/2020,300,48,1400,67200,100001
182,7/21/2020,300,20,1400,24000,100001
183,7/21/2020,300,30,1400,36000,100001
184,7/21/2020,300,48,1400,57600,100001
185,7/21/2020,300,22,1400,26400,100001
186,7/21/2020,300,49,1400,68600,100001
187,7/21/2020,300,51,1400,71400,100001
188,7/21/2020,300,31,1400,43400,100001
189,7/21/2020,300,39,1400,46800,100001
190,7/21/2020,300,55,1400,77000,100001
191,7/21/2020,300,34,1400,40800,100001
192,7/21/2020,300,50,1400,60000,100001
193,7/21/2020,300,28,1400,39200,100001
194,7/21/2020,300,58,1400,81200,100001
195,7/21/2020,300,53,1400,63600,100001
196,7/21/2020,300,40,1400,56000,100001
197,7/21/2020,300,43,1400,51600,100001
198,7/21/2020,300,46,1400,64400,100001
199,7/21/2020,300,26,1400,36400,100001
200,7/21/2020,300,39,1400,54600,100001
201,7/21/2020,300,26,1400,36400,100001
202,7/21/2020,300,43,1400,51600,100001
203,7/21/2020,300,32,1400,38400,100001
204,7/21/2020,300,53,1400,63600,100001
205,7/21/2020,300,28,1400,33600,100001
206,7/21/2020,300,44,1400,61600,100001
207,7/21/2020,300,43,1400,51600,100001
208,7/21/2020,300,22,1400,30800,100001
209,7/21/2020,300,59,1400,82600,100001
210,7/21/2020,300,42,1400,50400,100001
211,7/21/2020,300,28,1400,39200,100001
212,7/21/2020,300,53,1400,74200,100001
213,7/21/2020,300,32,1400,44800,100001
214,7/21/2020,300,25,1400,35000,100001
215,7/21/2020,300,41,1400,49200,100001
216,7/21/2020,300,44,1400,52800,100001
217,7/21/2020,300,36,1400,50400,100001
218,7/21/2020,300,53,1400,74200,100001
219,7/21/2020,300,57,1400,79800,100001
220,7/21/2020,300,37,1400,44400,100001
221,7/21/2020,300,28,1400,39200,100001
222,7/21/2020,300,59,1400,70800,100001
223,7/21/2020,300,31,1400,43400,100001
224,7/21/2020,300,57,1400,79800,100001
225,7/21/2020,300,49,1400,58800,100001
226,7/21/2020,300,51,1400,61200,100001
227,7/21/2020,300,47,1400,56400,100001
228,7/21/2020,300,60,1400,84000,100001
229,7/21/2020,300,35,1400,42000,100001
230,7/21/2020,300,35,1400,49000,100001
231,7/21/2020,300,25,1400,30000,100001
232,7/21/2020,300,30,1400,42000,100001
233,7/21/2020,300,48,1400,67200,100001
234,7/21/2020,300,57,1400,79800,100001
235,7/21/2020,300,26,1400,36400,100001
236,7/21/2020,300,47,1400,65800,100001
237,7/21/2020,300,20,1400,28000,100001
238,7/21/2020,300,44,1400,61600,100001
239,7/21/2020,300,37,1400,51800,100001
240,7/21/2020,300,26,1400,36400,100001
241,7/21/2020,300,33,1400,46200,100001
242,7/21/2020,300,58,1400,81200,100001
243,7/21/2020,300,56,1400,67200,100001
244,7/21/2020,300,36,1400,50400,100001
245,7/21/2020,300,48,1400,57600,100001
246,7/21/2020,300,31,1400,37200,100001
247,7/28/2020,300,35,1400,42000,100002
248,7/28/2020,300,30,1400,36000,100002
249,7/28/2020,300,55,1400,77000,100002
250,7/28/2020,300,56,1400,67200,100002
251,7/28/2020,300,60,1400,84000,100002
252,7/28/2020,300,45,1400,63000,100002
253,7/28/2020,300,57,1400,68400,100002
254,7/28/2020,300,53,1400,63600,100002
255,7/28/2020,300,20,1400,24000,100002
256,7/28/2020,300,55,1400,77000,100002
257,7/28/2020,300,34,1400,47600,100002
258,7/28/2020,300,28,1400,33600,100002
259,7/28/2020,300,21,1400,25200,100002
260,7/28/2020,300,41,1400,57400,100002
261,7/28/2020,300,45,1400,54000,100002
262,7/28/2020,300,43,1400,60200,100002
263,7/28/2020,300,21,1400,29400,100002
