id,date,quantity,total_income,id_crop,id_unit_measurement_eqv
110,7/21/2020,2400,12000,100001,2
111,7/21/2020,3300,14300,100001,2
112,7/21/2020,300,1600,100001,2
113,7/21/2020,5100,22100,100001,2
114,7/21/2020,600,3200,100001,2
115,7/21/2020,1800,9000,100001,2
116,7/21/2020,3300,14300,100001,2
117,7/21/2020,2100,10500,100001,2
118,7/21/2020,2400,12000,100001,2
119,7/21/2020,3000,13000,100001,2
120,7/21/2020,5100,22100,100001,2
121,7/21/2020,2400,12000,100001,2
122,7/21/2020,2400,12000,100001,2
123,7/21/2020,5400,23400,100001,2
124,7/21/2020,3600,15600,100001,2
125,7/21/2020,4500,19500,100001,2
126,7/21/2020,300,1600,100001,2
127,7/21/2020,6000,26000,100001,2
128,7/21/2020,900,4800,100001,2
129,7/21/2020,5100,22100,100001,2
130,7/21/2020,4500,19500,100001,2
131,7/21/2020,5100,22100,100001,2
132,7/21/2020,2400,12000,100001,2
133,7/21/2020,4800,20800,100001,2
134,7/21/2020,2400,12000,100001,2
135,7/21/2020,1200,6400,100001,2
136,7/21/2020,6000,26000,100001,2
137,7/21/2020,5700,24700,100001,2
138,7/21/2020,4800,20800,100001,2
139,7/21/2020,6000,26000,100001,2
140,7/21/2020,5700,24700,100001,2
141,7/21/2020,4800,20800,100001,2
142,7/21/2020,5400,23400,100001,2
143,7/21/2020,3900,16900,100001,2
144,7/21/2020,1800,9000,100001,2
145,7/21/2020,4500,19500,100001,2
146,7/21/2020,4200,18200,100001,2
147,7/21/2020,5700,24700,100001,2
148,7/21/2020,2400,12000,100001,2
149,7/21/2020,3000,13000,100001,2
150,7/21/2020,2400,12000,100001,2
151,7/21/2020,3900,16900,100001,2
152,7/21/2020,4500,19500,100001,2
153,7/21/2020,6000,26000,100001,2
154,7/21/2020,4500,19500,100001,2
155,7/21/2020,3300,14300,100001,2
156,7/21/2020,6000,26000,100001,2
157,7/21/2020,2400,12000,100001,2
158,7/21/2020,3300,14300,100001,2
159,7/21/2020,2100,10500,100001,2
160,7/21/2020,1200,6400,100001,2
161,7/21/2020,600,3200,100001,2
162,7/21/2020,1200,6400,100001,2
163,7/21/2020,5100,22100,100001,2
164,7/21/2020,3600,15600,100001,2
165,7/21/2020,3600,15600,100001,2
166,7/21/2020,900,4800,100001,2
167,7/21/2020,3300,14300,100001,2
168,7/21/2020,2100,10500,100001,2
169,7/21/2020,3900,16900,100001,2
170,7/21/2020,6000,26000,100001,2
171,7/21/2020,3600,15600,100001,2
172,7/21/2020,1200,6400,100001,2
173,7/21/2020,2700,13500,100001,2
174,7/21/2020,2400,12000,100001,2
175,7/21/2020,6000,26000,100001,2
176,7/21/2020,6000,26000,100001,2
177,7/21/2020,3600,15600,100001,2
178,7/21/2020,2100,10500,100001,2
179,7/21/2020,2400,12000,100001,2
180,7/21/2020,2700,13500,100001,2
181,7/21/2020,3000,13000,100001,2
182,7/21/2020,1500,6500,100001,2
183,7/21/2020,4800,20800,100001,2
184,7/21/2020,2400,12000,100001,2
