id,date,amount,info,id_expense_category,id_crop
1001,6/20/2020,3800,,1114,100001
1002,6/20/2020,51800,,1114,100001
1003,6/20/2020,42200,,1114,100001
1004,6/20/2020,88400,,1115,100001
1005,6/20/2020,4800,,1114,100001
1006,6/20/2020,83000,,1115,100001
1007,6/20/2020,79700,pagar cuentas de Pedro,1115,100001
1008,6/20/2020,98800,,1113,100001
1009,6/20/2020,84600,,1115,100001
1010,6/20/2020,91400,,1113,100001
1011,6/20/2020,31100,,1114,100001
1012,6/20/2020,14100,,1114,100001
1013,6/20/2020,9300,,1114,100001
1014,6/20/2020,65200,,1115,100001
1015,6/25/2020,34800,,1114,100002
1016,6/25/2020,9300,,1114,100002
1017,6/25/2020,31200,,1114,100002
1018,6/25/2020,66700,,1115,100002
1019,6/25/2020,78500,,1115,100002
1020,6/25/2020,31700,,1114,100002
1021,6/25/2020,38300,,1114,100002
1022,6/25/2020,96800,,1113,100002
1023,6/25/2020,41400,,1114,100002
1024,6/25/2020,54400,,1114,100002
1025,6/25/2020,102900,,1112,100002
1026,6/26/2020,71400,,1115,100002
1027,6/26/2020,44900,,1114,100002
1028,6/26/2020,11800,,1114,100002
1029,6/26/2020,51800,,1114,100002
1030,6/26/2020,29600,,1114,100002
1031,6/26/2020,65300,,1115,100002
1032,6/26/2020,104300,,1112,100002
1033,6/26/2020,66700,,1115,100002
1034,6/26/2020,60900,,1115,100002
1035,6/26/2020,97400,,1113,100002
1036,6/26/2020,109800,,1112,100002
1037,6/26/2020,38700,,1114,100002
1038,6/26/2020,72000,,1115,100002
1039,6/26/2020,9200,,1114,100002
1040,6/26/2020,28600,,1114,100002
1041,6/26/2020,47100,,1114,100002
1042,6/26/2020,89500,,1115,100002
1043,6/26/2020,68700,,1115,100002
1044,6/26/2020,93500,,1113,100002
1045,6/26/2020,79000,,1115,100002
1046,6/26/2020,57600,,1114,100002
1047,6/26/2020,60700,,1115,100002
1048,6/26/2020,43200,,1114,100002
1049,6/26/2020,64300,,1115,100002
1050,6/26/2020,87800,,1115,100002
1051,6/26/2020,85400,,1115,100002
1052,6/26/2020,61300,,1115,100002
1053,6/26/2020,71900,,1115,100002
1054,6/26/2020,102800,,1112,100002
1055,6/26/2020,41400,,1114,100002
1056,6/26/2020,51900,,1114,100002
1057,7/22/2020,76700,,1115,100003
1058,7/22/2020,21100,,1114,100003
1059,7/22/2020,66100,,1115,100003
1060,7/22/2020,91600,,1113,100003
1061,7/22/2020,108700,,1112,100003
1062,7/22/2020,41500,,1114,100003
1063,7/22/2020,21100,,1114,100003
1064,7/22/2020,95200,,1113,100003
1065,7/22/2020,72400,,1115,100003
1066,7/22/2020,93400,,1113,100003
1067,7/22/2020,15600,,1114,100003
1068,7/22/2020,64000,,1115,100003
1069,7/22/2020,19700,,1114,100003
1070,7/22/2020,88700,,1115,100003
1071,7/22/2020,72300,,1115,100003
1072,7/22/2020,76200,,1115,100003
1073,7/23/2020,6000,,1114,100004
1074,7/23/2020,6400,,1114,100004
1075,7/23/2020,39400,,1114,100004
1076,7/23/2020,4200,,1114,100004
1077,7/23/2020,35800,,1114,100004
1078,7/23/2020,25400,,1114,100004
1079,7/23/2020,17600,,1114,100004
1080,7/23/2020,58800,,1114,100004
1081,7/23/2020,75800,,1115,100004
1082,7/23/2020,47100,,1114,100004
1083,7/23/2020,9800,,1114,100004
1084,7/23/2020,104600,,1112,100004
1085,7/23/2020,71700,,1115,100004
1086,7/23/2020,31700,,1114,100004
1087,7/23/2020,34100,,1114,100004
1088,7/23/2020,106600,,1112,100004
1089,7/23/2020,80700,,1115,100004
1090,7/23/2020,107000,,1112,100004
1091,7/23/2020,42100,,1114,100004
1092,7/23/2020,38500,,1114,100004
1093,7/23/2020,95300,,1113,100004
1094,7/25/2020,24700,,1114,100004
1095,7/25/2020,72900,,1115,100004
1096,7/25/2020,46700,,1114,100004
1097,7/25/2020,48700,,1114,100004
1098,7/25/2020,95000,,1113,100004
1099,7/30/2020,41200,,1114,100005
1100,7/30/2020,38500,,1114,100005
1101,7/30/2020,45500,,1114,100005
1102,7/30/2020,104400,,1112,100005
1103,7/30/2020,22900,,1114,100005
1104,7/30/2020,44100,,1114,100005
1105,7/30/2020,33600,,1114,100005
1106,7/30/2020,18500,,1114,100005
1107,7/30/2020,92900,,1113,100005
1108,7/30/2020,25500,,1114,100005
1109,7/30/2020,75100,,1115,100005
1110,7/30/2020,73200,,1115,100005
1111,7/30/2020,81700,,1115,100005
1112,7/30/2020,69200,,1115,100005
1113,7/30/2020,51300,,1114,100005
1114,7/30/2020,24500,,1114,100005
1115,7/30/2020,23500,,1114,100005
1116,7/30/2020,88700,,1115,100005
1117,7/30/2020,46800,,1114,100005
1118,7/30/2020,79200,,1115,100005
1119,7/30/2020,8400,,1114,100005
1120,7/30/2020,60800,,1115,100005
1121,7/30/2020,41500,,1114,100005
1122,7/30/2020,62900,,1115,100005
1123,7/30/2020,94500,,1113,100005
1124,8/14/2020,10300,,1114,100006
1125,8/14/2020,87700,,1115,100006
1126,8/14/2020,105900,,1112,100006
1127,8/14/2020,64600,,1115,100006
1128,8/14/2020,7900,,1114,100006
1129,8/14/2020,32900,,1114,100006
1130,8/14/2020,45800,,1114,100006
1131,8/14/2020,70700,,1115,100006
1132,8/14/2020,4200,,1114,100006
1133,8/14/2020,8100,,1114,100006
1134,8/14/2020,32000,,1114,100006
1135,8/18/2020,40200,,1114,100007
1136,8/18/2020,69000,,1115,100007
1137,8/18/2020,23600,,1114,100007
1138,8/18/2020,23500,,1114,100007
1139,8/18/2020,51200,,1114,100007
1140,8/18/2020,63200,,1115,100007
1141,8/18/2020,78400,,1115,100007
1142,8/18/2020,30400,,1114,100007
1143,8/18/2020,97300,,1113,100007
1144,8/18/2020,21400,,1114,100007
1145,8/18/2020,39000,,1114,100007
1146,8/18/2020,55200,,1114,100007
1147,8/18/2020,94400,,1113,100007
1148,8/18/2020,82800,,1115,100007
1149,8/18/2020,68400,,1115,100007
1150,8/18/2020,109900,,1112,100007
1151,8/18/2020,106100,,1112,100007
1152,8/18/2020,62300,,1115,100007
1153,8/18/2020,96500,,1113,100007
1154,8/18/2020,56900,,1114,100007
1155,8/18/2020,95500,,1113,100007
1156,8/18/2020,92700,,1113,100007
1157,8/18/2020,2600,,1114,100007
1158,8/18/2020,30500,,1114,100007
1159,8/18/2020,104000,,1112,100007
1160,8/18/2020,39200,,1114,100007
1161,8/18/2020,40700,,1114,100007
1162,8/22/2020,9500,,1114,100007
1163,8/22/2020,41900,,1114,100007
1164,8/22/2020,93100,,1113,100007
