sensor id,timestamp,temp,hum,pressure,lux,ec
10370001.0,2021-04-13 18:58:08,17.11,62.82,745.02,2.08,2.601856106569171
10370001.0,2021-04-13 18:58:36,17.13,62.86,745.03,2.08,2.537907469157693
10370001.0,2021-04-13 18:59:05,17.16,62.89,745.05,2.08,2.7136299359732434
10370001.0,2021-04-13 18:59:33,17.18,62.89,745.02,2.08,2.4581890948571203
10370001.0,2021-04-13 19:00:01,17.21,62.87,745.05,2.08,2.5129995312303013
10370001.0,2021-04-13 19:00:29,17.23,62.85,745.05,2.08,2.5172653397817135
10370001.0,2021-04-13 19:00:58,17.24,62.83,745.05,2.08,2.549610602146455
10370001.0,2021-04-13 19:01:26,17.27,62.82,745.05,2.08,2.6729906921621565
10370001.0,2021-04-13 19:01:55,17.28,62.81,745.05,2.08,2.5516860705257542
10370001.0,2021-04-13 19:02:23,17.3,62.81,745.04,2.08,2.5261438967619223
10370001.0,2021-04-13 19:02:52,17.32,62.76,745.05,2.08,2.5854763771169975
10370001.0,2021-04-13 19:03:20,17.33,62.76,745.06,2.08,2.5316574930504476
10370001.0,2021-04-13 19:03:48,17.34,62.74,745.05,2.08,2.4101202496666194
10370001.0,2021-04-13 19:04:16,17.35,62.74,745.08,2.08,2.5116773297367363
10370001.0,2021-04-13 19:04:45,17.36,62.74,745.07,2.08,2.57869948070577
10370001.0,2021-04-13 19:05:13,17.37,62.72,745.11,2.08,2.559043326926936
10370001.0,2021-04-13 19:05:42,17.38,62.71,745.13,2.08,2.423992763038395
10370001.0,2021-04-13 19:06:10,17.4,62.69,745.13,2.08,2.474693534194858
10370001.0,2021-04-13 19:06:38,17.41,62.7,745.14,2.08,2.518085564817491
10370001.0,2021-04-13 19:07:07,17.42,62.71,745.18,2.08,2.6041480505932553
10370001.0,2021-04-13 19:07:35,17.43,62.71,745.18,2.08,2.486159702740825
10370001.0,2021-04-13 19:08:03,17.43,62.68,745.16,2.08,2.4476710838303393
10370001.0,2021-04-13 19:08:32,17.44,62.71,745.16,2.08,2.510995765396327
10370001.0,2021-04-13 19:09:00,17.45,62.75,745.17,1.25,2.567598714867017
10370001.0,2021-04-13 19:09:28,17.47,62.81,745.17,1.67,2.4952654982681244
10370001.0,2021-04-13 19:09:56,17.49,62.83,745.18,2.08,2.473532598528607
10370001.0,2021-04-13 19:10:25,17.51,62.87,745.17,2.08,2.614049852058797
10370001.0,2021-04-13 19:10:53,17.52,62.92,745.1,2.08,2.5665644089185506
10370001.0,2021-04-13 19:11:21,17.54,62.97,745.12,1.67,2.4684172541910536
10370001.0,2021-04-13 19:11:49,17.56,62.98,745.14,1.67,2.5539267264484264
10370001.0,2021-04-13 19:12:17,17.57,63.0,745.14,1.67,2.4865074026717036
10370001.0,2021-04-13 19:12:46,17.59,62.98,745.14,1.67,2.3583260695042707
10370001.0,2021-04-13 19:13:14,17.6,62.96,745.19,1.67,2.470186122675487
10370001.0,2021-04-13 19:13:42,17.61,62.98,745.18,1.67,2.565441812576783
10370001.0,2021-04-13 19:14:11,17.62,62.98,745.24,1.67,2.5374045785471853
10370001.0,2021-04-13 19:14:39,17.63,62.95,745.22,1.67,2.548212519897719
10370001.0,2021-04-13 19:15:07,17.64,62.95,745.22,1.67,2.577810755656794
10370001.0,2021-04-13 19:15:35,17.65,62.95,745.24,1.67,2.543032860735988
10370001.0,2021-04-13 19:16:21,17.29,63.55,745.21,1.67,2.586635203143926
10370001.0,2021-04-13 19:16:49,17.63,63.14,745.16,1.67,2.542810966413859
10370001.0,2021-04-13 19:17:18,17.65,63.14,745.17,1.67,2.528303587063655
10370001.0,2021-04-13 19:17:46,17.66,63.11,745.15,1.67,2.4985555213711512
10370001.0,2021-04-13 19:18:17,17.68,63.12,745.13,1.67,2.586274157933766
10370001.0,2021-04-13 19:18:45,17.68,63.12,745.13,1.67,2.5842801354472966
10370001.0,2021-04-13 19:19:13,17.7,63.11,745.16,1.67,2.557675309203632
10370001.0,2021-04-13 19:19:42,17.71,63.18,745.13,1.67,2.571130865851627
10370001.0,2021-04-13 19:20:10,17.73,63.26,745.15,1.67,2.5518247106588916
10370001.0,2021-04-13 19:20:38,17.74,63.35,745.14,1.67,2.6115377609242456
10370001.0,2021-04-13 19:21:06,17.75,63.4,745.14,1.67,2.6195338274887283
10370001.0,2021-04-13 19:21:35,17.77,63.4,745.15,1.67,2.5855822314184267
10370001.0,2021-04-13 19:22:04,17.78,63.42,745.16,1.67,2.499599684340839
10370001.0,2021-04-13 19:22:32,17.79,63.44,745.17,1.67,2.571737804698418
10370001.0,2021-04-13 19:23:01,17.81,63.44,745.19,1.67,2.590778179630899
10370001.0,2021-04-13 19:23:30,17.81,63.42,745.15,1.67,2.5685954802464614
10370001.0,2021-04-13 19:23:58,17.82,63.42,745.17,1.67,2.4912652771381856
10370001.0,2021-04-13 19:24:26,17.82,63.42,745.16,1.67,2.6134037228275413
10370001.0,2021-04-13 19:24:55,17.82,63.39,745.16,1.67,2.4477488578519355
10370001.0,2021-04-13 19:25:23,17.83,63.4,745.16,1.67,2.4970654372390984
10370001.0,2021-04-13 19:25:51,17.83,63.4,745.17,1.67,2.608747803488316
10370001.0,2021-04-13 19:26:20,17.83,63.4,745.18,1.67,2.643165547762925
10370001.0,2021-04-13 19:26:48,17.84,63.4,745.21,1.67,2.5321587782984607
10370001.0,2021-04-13 19:27:16,17.84,63.37,745.22,1.67,2.5195920574850073
10370001.0,2021-04-13 19:27:45,17.84,63.36,745.28,1.67,2.4913563090875166
10370001.0,2021-04-13 19:28:13,17.83,63.37,745.24,1.67,2.584141632968038
10370001.0,2021-04-13 19:28:42,17.83,63.37,745.28,1.67,2.4714929765341482
10370001.0,2021-04-13 19:29:10,17.84,63.39,745.27,1.67,2.646867618997749
10370001.0,2021-04-13 19:29:39,17.84,63.36,745.26,1.67,2.453568086597068
10370001.0,2021-04-13 19:30:08,17.82,63.36,745.23,1.67,2.5101412681514215
10370001.0,2021-04-13 19:30:36,17.83,63.38,745.24,1.67,2.5336905312511067
10370001.0,2021-04-13 19:31:04,17.82,63.39,745.27,1.67,2.6732371695623054
10370001.0,2021-04-13 19:31:33,17.83,63.41,745.3,1.67,2.5858620487026958
10370001.0,2021-04-13 19:32:02,17.83,63.41,745.32,1.67,2.542229015911595
10370001.0,2021-04-13 19:32:30,17.83,63.41,745.31,1.67,2.603691490417038
10370001.0,2021-04-13 19:32:58,17.83,63.4,745.33,1.25,2.5251630936297103
10370001.0,2021-04-13 19:33:27,17.82,63.43,745.28,1.25,2.4945754723296605
10370001.0,2021-04-13 19:33:55,17.82,63.49,745.35,1.67,2.5492123269214457
10370001.0,2021-04-13 19:34:23,17.82,63.51,745.34,1.67,2.6420428142815386
10370001.0,2021-04-13 19:34:52,17.82,63.51,745.36,1.67,2.5157419959287175
10370001.0,2021-04-13 19:35:20,17.82,63.52,745.35,1.67,2.6377804829653155
10370001.0,2021-04-13 19:35:49,17.82,63.54,745.38,1.67,2.549813421190713
10370001.0,2021-04-13 19:36:17,17.83,63.57,745.36,1.67,2.5762384671609837
10370001.0,2021-04-13 19:36:45,17.82,63.57,745.37,1.67,2.536094876450142
10370001.0,2021-04-13 19:37:14,17.81,63.58,745.37,1.67,2.4952080509750556
10370001.0,2021-04-13 19:37:42,17.82,63.58,745.41,1.67,2.53971673060708
